字段1,字段1_link,字段2,字段3,字段4,字段5,字段6
MICROBLADING TEAM LEADER,https://www.seek.co.nz/job/50572674?type=standout#searchRequestToken=c37c2c2c-5be8-4023-871d-08a1d9851be9,OFF & ON,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"7d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Lifestyle Service Technician,https://www.seek.co.nz/job/50526042?type=standout#searchRequestToken=c37c2c2c-5be8-4023-871d-08a1d9851be9,Norwood,location: ManawatuManawatuarea: Palmerston NorthPalmerston North,classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians,"15d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians
Electrician,https://www.seek.co.nz/job/50605219?type=standout#searchRequestToken=c37c2c2c-5be8-4023-871d-08a1d9851be9,McConnell Dowell,"location: AucklandAucklandarea: Auckland CentralAuckland Central,Medical Ins & 6% Employer Kiwisaver",classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians,"1d ago,at",Medical Ins & 6% Employer Kiwisaver
Experienced Site Steel Erectors,https://www.seek.co.nz/job/50600571?type=standard#searchRequestToken=c37c2c2c-5be8-4023-871d-08a1d9851be9,All Trades Labour Hire,location: Hawkes BayHawkes Bayarea: HastingsHastings,classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades,"2d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades
Senior Service Technician,https://www.seek.co.nz/job/50549512?type=promoted#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,Benmax NZ Limited,location: WellingtonWellingtonarea: Hutt ValleyHutt Valley,classification: Trades & ServicesTrades & ServicessubClassification: Air Conditioning & RefrigerationAir Conditioning & Refrigeration,"Featured,at",classification: Trades & ServicesTrades & ServicessubClassification: Air Conditioning & RefrigerationAir Conditioning & Refrigeration
Electrical Engineering (Pre Trade Electrician) Tutor,https://www.seek.co.nz/job/50439456?type=promoted#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,Skills Update Training Institute,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians,"Featured,at",classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians
Service Technician,https://www.seek.co.nz/job/50503611?type=standard#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,Twoticks,"location: SouthlandSouthlandarea: InvercargillInvercargill,Competitive pay career progression & full training",classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades,"20d ago,at",Competitive pay career progression & full training
Labourer Skilled,https://www.seek.co.nz/job/50615228?type=standard#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,Adecco Industrial,location: NorthlandNorthlandarea: WhangareiWhangarei,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"57m ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
Cleaner - Upper Hutt - Part Time,https://www.seek.co.nz/job/50521525?type=standard#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,Kleenrite Group,location: WellingtonWellingtonarea: Hutt ValleyHutt Valley,classification: Trades & ServicesTrades & ServicessubClassification: Cleaning ServicesCleaning Services,"16d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Cleaning ServicesCleaning Services
Skilled Civil Labourers Needed - Auckland,https://www.seek.co.nz/job/50546597?type=standout#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,Turbo Staff,location: AucklandAuckland,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"12d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
Vegetation Control Operator,https://www.seek.co.nz/job/50505041?type=standard#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,Recreational Services,location: CanterburyCanterburyarea: ChristchurchChristchurch,classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping,"20d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping
Cabinet Makers/ Installers - Hamilton & Tauranga,https://www.seek.co.nz/job/50546963?type=standout#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,Drake New Zealand - Hamilton,location: OtagoOtagoarea: DunedinDunedin,classification: Trades & ServicesTrades & ServicessubClassification: Carpentry & Cabinet MakingCarpentry & Cabinet Making,"12d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Carpentry & Cabinet MakingCarpentry & Cabinet Making
Maintenance Person,https://www.seek.co.nz/job/50511772?type=standout#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,Ryman Healthcare,location: WellingtonWellingtonarea: Wellington CentralWellington Central,classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services,"19d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services
Civil Construction Supervisor,https://www.seek.co.nz/job/50582420?type=standard#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,Jora New Zealand,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades,"6d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades
High End Residential Carpenter - START MONDAY!,https://www.seek.co.nz/job/50573382?type=standout#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,Tech 5 Recruitment Ltd,location: CanterburyCanterburyarea: ChristchurchChristchurch,classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades,"7d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades
Kitchen Cabinet Assembler,https://www.seek.co.nz/job/50548685?type=standout#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,AWF,location: ManawatuManawatuarea: WanganuiWanganui,classification: Trades & ServicesTrades & ServicessubClassification: Carpentry & Cabinet MakingCarpentry & Cabinet Making,"12d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Carpentry & Cabinet MakingCarpentry & Cabinet Making
Electrical Roles available Now,https://www.seek.co.nz/job/50583964?type=standard#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,Tradestaff,"location: OtagoOtagoarea: DunedinDunedin,Competitive Market Rates",classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians,"6d ago,at",Competitive Market Rates
Domestic,https://www.seek.co.nz/job/50547816?type=standard#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,Spotless Facility Services (NZ) Limited,location: ManawatuManawatuarea: WanganuiWanganui,classification: Trades & ServicesTrades & ServicessubClassification: Cleaning ServicesCleaning Services,"12d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Cleaning ServicesCleaning Services
Hammer Hand,https://www.seek.co.nz/job/50529288?type=standout#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,AWF,"location: WellingtonWellington,Kiwisaver, Holiday Pay, Sick Pay",classification: Trades & ServicesTrades & ServicessubClassification: Carpentry & Cabinet MakingCarpentry & Cabinet Making,"15d ago,at","Kiwisaver, Holiday Pay, Sick Pay"
Automotive Mechanic,https://www.seek.co.nz/job/50614144?type=standard#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,Bridgestone Kerikeri,location: NorthlandNorthlandarea: Rest of NorthlandRest of Northland,classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades,"3h ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades
"Cabinetmaker, Joiner or Installer",https://www.seek.co.nz/job/50497952?type=standard#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,Resco Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,$25 - $26 per hour",classification: Trades & ServicesTrades & ServicessubClassification: Carpentry & Cabinet MakingCarpentry & Cabinet Making,"21d ago,at",$25 - $26 per hour
Building Services Team Lead - SkyCity Hamilton,https://www.seek.co.nz/job/50540022?type=standout#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,SKYCITY,location: WaikatoWaikatoarea: HamiltonHamilton,classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services,"13d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services
Landscapers / Machine Operator,https://www.seek.co.nz/job/50520415?type=standout#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,The Plant People Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping,"16d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping
Waterblasting Technician,https://www.seek.co.nz/job/50508974?type=standard#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,Jora New Zealand,location: ManawatuManawatuarea: Palmerston NorthPalmerston North,classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians,"19d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians
Fire Alarm Service Technician,https://www.seek.co.nz/job/50539549?type=standout#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,Fire Security Services 2016 Ltd,location: Bay of PlentyBay of Plentyarea: RotoruaRotorua,classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians,"13d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians
Light Vehicle Mechanic,https://www.seek.co.nz/job/50558329?type=standard#searchRequestToken=0a717157-e4e3-4611-9a32-166ea232690a,Stellar Recruitment,location: CanterburyCanterburyarea: ChristchurchChristchurch,classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades,"9d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades
Electrical Engineering (Pre Trade Electrician) Tutor,https://www.seek.co.nz/job/50439456?type=promoted#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,Skills Update Training Institute,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians,"Featured,at",classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians
Maintenance Technician,https://www.seek.co.nz/job/50564493?type=promoted#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,"maui, Britz, mighty",location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians,"Featured,at",classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians
Automotive Service Manager,https://www.seek.co.nz/job/50604629?type=standout#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,SD European,location: WaikatoWaikatoarea: HamiltonHamilton,classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades,"2d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades
Franchise European Technician,https://www.seek.co.nz/job/50589352?type=standout#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,Automotive Employment (NZ) Ltd,location: Hawkes BayHawkes Bay,classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades,"5d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades
Trade Qualified Joiner/Timber Engineer,https://www.seek.co.nz/job/50608766?type=standard#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,Jora New Zealand,location: OtagoOtagoarea: DunedinDunedin,classification: Trades & ServicesTrades & ServicessubClassification: Carpentry & Cabinet MakingCarpentry & Cabinet Making,"23h ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Carpentry & Cabinet MakingCarpentry & Cabinet Making
Ophthalmic Service Technician,https://www.seek.co.nz/job/50522102?type=standout#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,H2R Consulting,location: AucklandAucklandarea: Waitakere & West AucklandWaitakere & West Auckland,classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians,"16d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians
Electrician,https://www.seek.co.nz/job/50564251?type=standard#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,Townley Trenching & Inspections Ltd,location: Bay of PlentyBay of Plentyarea: RotoruaRotorua,classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians,"5d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians
Joiner,https://www.seek.co.nz/job/50547840?type=standout#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,Pure Kitchens Ltd,location: WaikatoWaikatoarea: HamiltonHamilton,classification: Trades & ServicesTrades & ServicessubClassification: Carpentry & Cabinet MakingCarpentry & Cabinet Making,"12d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Carpentry & Cabinet MakingCarpentry & Cabinet Making
Glass Production & Dispatch Supervisor,https://www.seek.co.nz/job/50566677?type=standard#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,The Recruitment Alternative,location: Hawkes BayHawkes Bayarea: HastingsHastings,classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades,"8d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades
Labourer Storm-Water Division,https://www.seek.co.nz/job/50541359?type=standard#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,Adecco Industrial,location: WaikatoWaikatoarea: HamiltonHamilton,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"13d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
Experienced Aluminium Installers and Glaziers,https://www.seek.co.nz/job/50604286?type=standout#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,Aluminium Installation and Services Ltd,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades,"2d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades
DETAILER CABINETRY JOINERY,https://www.seek.co.nz/job/50592411?type=standard#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,Appointments Recruitment Specialists Ltd,"location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,$75,000 - $89,999",classification: Trades & ServicesTrades & ServicessubClassification: Carpentry & Cabinet MakingCarpentry & Cabinet Making,"5d ago,at","$75,000 - $89,999"
HVAC Service Technician,https://www.seek.co.nz/job/50597519?type=standout#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,Blue Duck Recruitment,location: AucklandAuckland,classification: Trades & ServicesTrades & ServicessubClassification: Air Conditioning & RefrigerationAir Conditioning & Refrigeration,"2d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Air Conditioning & RefrigerationAir Conditioning & Refrigeration
SECURITY - Kapiti,https://www.seek.co.nz/job/50536475?type=standout#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,Armourguard,location: WellingtonWellingtonarea: Porirua & Kapiti CoastPorirua & Kapiti Coast,classification: Trades & ServicesTrades & ServicessubClassification: Security ServicesSecurity Services,"14d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Security ServicesSecurity Services
Fire Alarm/Service Technician,https://www.seek.co.nz/job/50535405?type=standard#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,Masterguard Fire and Security,location: CanterburyCanterburyarea: Timaru & South CanterburyTimaru & South Canterbury,classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians,"14d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians
Industrial Electrician,https://www.seek.co.nz/job/50607063?type=standout#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,Aspect Technical Recruitment Ltd,location: AucklandAuckland,classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians,"1d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians
Parts Interpreter - Andrew Simms,https://www.seek.co.nz/job/50558437?type=standout#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,NetYourJob,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades,"9d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades
Warehouse Devanners,https://www.seek.co.nz/job/50554191?type=standard#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,1st Call Recruitment,location: CanterburyCanterburyarea: ChristchurchChristchurch,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"12d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
Interior and Exterior Plasterer,https://www.seek.co.nz/job/50597797?type=standard#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,Adecco Civil & Construction,location: CanterburyCanterburyarea: ChristchurchChristchurch,classification: Trades & ServicesTrades & ServicessubClassification: Painters & Sign WritersPainters & Sign Writers,"2d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Painters & Sign WritersPainters & Sign Writers
Sales and Service Technician,https://www.seek.co.nz/job/50564305?type=standout#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,Enterprise Recruitment,location: TasmanTasmanarea: NelsonNelson,classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians,"8d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians
Builder/ Foreman,https://www.seek.co.nz/job/50590249?type=standard#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,RDR Builders Limited,"location: SouthlandSouthlandarea: InvercargillInvercargill,$28 - $35 per hour + tool/phone allowance + van",classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades,"5d ago,at",$28 - $35 per hour + tool/phone allowance + van
Pool Valet & Service Technician,https://www.seek.co.nz/job/50528642?type=standard#searchRequestToken=b19103d9-e409-4b45-84e6-fff53f9cb947,Advanced Personnel Services Ltd,"location: AucklandAucklandarea: Auckland CentralAuckland Central,$25 - $27 per hour",classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services,"15d ago,at",$25 - $27 per hour
"Qualified, Registered Electrician",https://www.seek.co.nz/job/50528186?type=promoted#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,Harbour Electrical,"location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,$35 - $45 per hourPlus Vehicle & Tools",classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians,"Featured,at",$35 - $45 per hourPlus Vehicle & Tools
Heavy Equipment/Diesel Mechanic,https://www.seek.co.nz/job/50446573?type=promoted#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,AP Plant and Machinery,location: GisborneGisbornearea: GisborneGisborne,classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades,"Featured,at",classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades
AV Technician,https://www.seek.co.nz/job/50540386?type=standout#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,Switch Group,location: WaikatoWaikatoarea: HamiltonHamilton,classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians,"13d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians
Small Motor Mechanic,https://www.seek.co.nz/job/50583009?type=standout#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,Delta,location: OtagoOtagoarea: DunedinDunedin,classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades,"6d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades
Carpenters & Painters,https://www.seek.co.nz/job/50525316?type=standout#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,GSM PROJECTS,location: AucklandAuckland,classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades,"15d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades
Sewing Machinist,https://www.seek.co.nz/job/50614471?type=standard#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,Jora New Zealand,location: CanterburyCanterburyarea: ChristchurchChristchurch,classification: Trades & ServicesTrades & ServicessubClassification: Tailors & DressmakersTailors & Dressmakers,"2h ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Tailors & DressmakersTailors & Dressmakers
Fit Models - Female,https://www.seek.co.nz/job/50539580?type=standout#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,Icebreaker,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"13d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Workshop General Hand,https://www.seek.co.nz/job/50455843?type=standout#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,thyssenkrupp Materials Australia Pty Ltd,location: AucklandAucklandarea: Waitakere & West AucklandWaitakere & West Auckland,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"28d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
Industrial Technician,https://www.seek.co.nz/job/50540927?type=standout#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,Contract Resources,location: WaikatoWaikatoarea: TaupoTaupo,classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians,"13d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians
Concrete Labourer,https://www.seek.co.nz/job/50559719?type=standout#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,AWF,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"9d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
Plumber/Site Foreman,https://www.seek.co.nz/job/50605596?type=standout#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,JC McCall Plumbing Ltd,"location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,$75,000 - $84,999",classification: Trades & ServicesTrades & ServicessubClassification: PlumbersPlumbers,"1d ago,at","$75,000 - $84,999"
Arboriculture Manager,https://www.seek.co.nz/job/50526783?type=standout#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,Infracore Limited,location: Bay of PlentyBay of Plentyarea: RotoruaRotorua,classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping,"15d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping
Development Monitoring Advisor,https://www.seek.co.nz/job/50558430?type=standout#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,Tauranga City Council,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,classification: Trades & ServicesTrades & ServicessubClassification: OtherOther,"9d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: OtherOther
Labourers,https://www.seek.co.nz/job/50496663?type=standout#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,AWF,"location: GisborneGisborne,Hourly, weekly",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"21d ago,at","Hourly, weekly"
Technician - Carpentry/Building Site,https://www.seek.co.nz/job/50527359?type=standout#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,WelTec,location: WellingtonWellingtonarea: Porirua & Kapiti CoastPorirua & Kapiti Coast,classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians,"15d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians
Drainlayer,https://www.seek.co.nz/job/50573275?type=standard#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,Hays Trades & Labour,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"7d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
Civil Carpenters Needed - Auckland,https://www.seek.co.nz/job/50546605?type=standout#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,Turbo Staff,location: AucklandAuckland,classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades,"12d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades
Wire & Spark Erosion Operators,https://www.seek.co.nz/job/50528595?type=standard#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,Jora New Zealand,location: WaikatoWaikatoarea: HamiltonHamilton,classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians,"15d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians
Traffic Controller,https://www.seek.co.nz/job/50511702?type=standout#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,Enterprise Recruitment,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,Competitive",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"19d ago,at",Competitive
Drainage Serviceperson,https://www.seek.co.nz/job/50529281?type=standout#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,AWF,location: WellingtonWellington,classification: Trades & ServicesTrades & ServicessubClassification: PlumbersPlumbers,"15d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: PlumbersPlumbers
Mechanic,https://www.seek.co.nz/job/50573816?type=standard#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,John Holland,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"classification: Trades & ServicesTrades & ServicessubClassification: Fitters, Turners & MachinistsFitters, Turners & Machinists","7d ago,at","classification: Trades & ServicesTrades & ServicessubClassification: Fitters, Turners & MachinistsFitters, Turners & Machinists"
Diesel Technician - Airport Based,https://www.seek.co.nz/job/50580070?type=standout#searchRequestToken=03a2f4e2-7fcd-4d4a-a6ba-d8bb2c73acfe,Babcock Pty Ltd,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians,"6d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians
Qualified Electrician Wanted!,https://www.seek.co.nz/job/50540161?type=promoted#searchRequestToken=b5dffd26-d970-4199-90e3-e8a092504ca6,Switch Group,location: WaikatoWaikatoarea: HamiltonHamilton,classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians,"Featured,at",classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians
Service Engineer- Medical Equipment,https://www.seek.co.nz/job/50581114?type=promoted#searchRequestToken=b5dffd26-d970-4199-90e3-e8a092504ca6,CR kennedy (NZ) Ltd,location: WellingtonWellingtonarea: Wellington CentralWellington Central,classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians,"Featured,at",classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians
